index,pptx_file,Page_Num,difficulty,url
1,20210412_poelen_idigbio_seminar_slides.pptx,66,Simple,https://zenodo.org/api/records/4707908/files/20210412_poelen_idigbio_seminar_slides.pptx/content
2,Prantasi Speaker 2.pptx,48,Simple,https://zenodo.org/api/records/3530942/files/Prantasi (Speaker) (2).pptx/content
3,FAIR data principles - UniVr - 2021.pptx,5,Simple,https://zenodo.org/api/records/4680430/files/FAIR data principles - UniVr - 2021.pptx/content
4,CHEP2019_480.pptx,25,Simple,https://zenodo.org/api/records/3599533/files/CHEP2019_480.pptx/content
5,FCTD2021.pptx,9,Simple,https://zenodo.org/api/records/5588625/files/FCTD2021.pptx/content
6,ontology of becoming - jean delahousse - track 2 -.pptx,30,Simple,https://zenodo.org/api/records/6518913/files/ontology of becoming - jean delahousse - track 2 -.pptx/content
7,slides-only-GL-ITB-13-CIKAPUNDUNG.pptx,5,Simple,https://zenodo.org/api/records/4553772/files/slides-only-GL-ITB-13-CIKAPUNDUNG.pptx/content
8,D5 2019 GESIS Harmonization Course PPT.pptx,78,Simple,https://zenodo.org/api/records/3924955/files/D5 2019 GESIS Harmonization Course PPT.pptx/content
9,1.3 SNS - OS e RDM.pptx,23,Simple,https://zenodo.org/api/records/6324828/files/1.3 SNS - OS e RDM.pptx/content
10,Open_Access.pptx,29,Simple,https://zenodo.org/api/records/5720639/files/Open_Access.pptx/content
11,20210412_poelen_idigbio_seminar_slides.pptx,3,Simple,https://zenodo.org/api/records/4707908/files/20210412_poelen_idigbio_seminar_slides.pptx/content
12,D5 2019 GESIS Harmonization Course PPT.pptx,110,Simple,https://zenodo.org/api/records/3924955/files/D5 2019 GESIS Harmonization Course PPT.pptx/content
13,OEBT_ORCID_OS_PalomaMarinArraiza_12092019.pptx,22,Simple,https://zenodo.org/api/records/3431320/files/OEBT_ORCID_OS_PalomaMarinArraiza_12092019.pptx/content
14,TRIPLE Atelier Le financement participatif pour les SHS 28 Octobre 2022.pptx,21,Simple,https://zenodo.org/api/records/7261427/files/TRIPLE Atelier Le financement participatif pour les SHS 28 Octobre 2022.pptx/content
15,MooreFoster2019.pptx,17,Simple,https://zenodo.org/api/records/2697446/files/Moore&Foster2019.pptx/content
16,Ti spiego il dato.pptx,8,Simple,https://zenodo.org/api/records/6519620/files/Ti spiego il dato.pptx/content
17,Modulo 3 Data Management Plan e principi FAIR 1.pptx,41,Simple,https://zenodo.org/api/records/4570624/files/Modulo 3 Data Management Plan e principi FAIR (1).pptx/content
18,Webinar DOAJ- SciELO ArgMex.pptx,26,Simple,https://zenodo.org/api/records/13743602/files/Webinar DOAJ- SciELO ArgMex.pptx/content
19,2021-12-09_MDC_Phd_Training_Publishedvs.pptx,40,Simple,https://zenodo.org/api/records/5772382/files/2021-12-09_MDC_Phd_Training_Publishedvs.pptx/content
20,AllReflectanceSpectra.pptx,52,Simple,https://zenodo.org/api/records/4997501/files/AllReflectanceSpectra.pptx/content
21,20240910_Prasentation_Research_Assessment.pptx,3,Simple,https://zenodo.org/api/records/13904598/files/20240910_Präsentation_Research_Assessment.pptx/content
22,AllReflectanceSpectra.pptx,65,Simple,https://zenodo.org/api/records/4997501/files/AllReflectanceSpectra.pptx/content
23,AllReflectanceSpectra.pptx,8,Simple,https://zenodo.org/api/records/4997501/files/AllReflectanceSpectra.pptx/content
24,karakuzu_OSR.pptx,45,Simple,https://zenodo.org/api/records/3906100/files/karakuzu_OSR.pptx/content
25,sc1_Practicing-Open-Science-Principles-Ecosystem-Tools.pptx,57,Simple,https://zenodo.org/api/records/7870126/files/sc1_Practicing-Open-Science-Principles-Ecosystem-Tools.pptx/content
